
metadata
ID	name	desc	time	keywords	minlat	minlon	maxlat	maxlon	
1			2012-07-31T16:17:02Z		-17.666544858366251	31.1055345274508	-17.459403974935412	31.264273775741458	

author
ID	name	email	

copyright
year	license	author	

link
metadataID	authorID	wptID	rteptID	trkptID	rteID	trkID	text	type	href	
1							"Garmin International"		http://www.garmin.com	

rte
ID	name	cmt	desc	src	number	type	

trk
ID	name	cmt	desc	src	number	type	
1	"Alfie’s Ride"						
2	"Baboon Valley"						
3	"Cross Kopjie"						
4	"Gulliver Dam"						
5	"Lone Tree"						
6	"Ngomakurira"						
7	"Ngomakurira View to Killarney Dam"						

trkseg
ID	trkID	
33	1	-17.610458275303245	31.166443303227425	1550.74	2012-07-18T13:11:13Z																				0	
34	1	-17.610442349687219	31.166615048423409	1550.26	2012-07-18T13:11:17Z																				0	
35	1	-17.610555589199066	31.166700292378664	1549.78	2012-07-18T13:11:21Z																				0	
36	1	-17.610892541706562	31.166705908253789	1546.9000000000001	2012-07-18T13:11:28Z																				0	
37	1	-17.611002596095204	31.166730215772986	1546.4200000000001	2012-07-18T13:11:30Z																				0	
38	1	-17.611489333212376	31.166778998449445	1543.05	2012-07-18T13:11:38Z																				0	
39	1	-17.611879091709852	31.166734490543604	1540.6500000000001	2012-07-18T13:11:45Z																				0	
40	1	-17.612385274842381	31.166900033131242	1537.77	2012-07-18T13:11:53Z																				0	
41	1	-17.612578729167581	31.167028360068798	1536.3199999999999	2012-07-18T13:11:57Z																				0	
42	1	-17.612946024164557	31.167284762486815	1533.4400000000001	2012-07-18T13:12:05Z																				0	
43	1	-17.613076949492097	31.167427757754922	1532	2012-07-18T13:12:08Z																				0	
44	1	-17.613169820979238	31.167524065822363	1531.52	2012-07-18T13:12:10Z																				0	
45	1	-17.61328088119626	31.16768172942102	1531.04	2012-07-18T13:12:13Z																				0	
46	1	-17.613382888957858	31.167851965874434	1530.0799999999999	2012-07-18T13:12:16Z																				0	
47	1	-17.61340350843966	31.16809906437993	1529.1099999999999	2012-07-18T13:12:20Z																				0	
48	1	-17.613317761570215	31.168304421007633	1529.1099999999999	2012-07-18T13:12:24Z																				0	
49	1	-17.613426139578223	31.168493432924151	1529.1099999999999	2012-07-18T13:12:29Z																				0	
50	1	-17.613852526992559	31.168732233345509	1526.71	2012-07-18T13:12:38Z																				0	
51	1	-17.613991918042302	31.168826865032315	1526.23	2012-07-18T13:12:41Z																				0	
52	1	-17.614099206402898	31.168862655758858	1525.75	2012-07-18T13:12:43Z																				0	
53	1	-17.614207835868001	31.168880509212613	1525.27	2012-07-18T13:12:45Z																				0	
54	1	-17.614332977682352	31.168992994353175	1524.79	2012-07-18T13:12:49Z																				0	
55	1	-17.614390728995204	31.169098606333137	1523.8299999999999	2012-07-18T13:12:54Z																				0	
56	1	-17.614398943260312	31.169167505577207	1522.8699999999999	2012-07-18T13:13:00Z																				0	
57	1	-17.614640928804874	31.169246211647987	1519.5	2012-07-18T13:13:06Z																				0	
